ASV	HOUSE-01	HOUSE-02	HOUSE-03	HOUSE-04	HOUSE-05	HOUSE-06	HOUSE-07	HOUSE-08	HOUSE-09	HOUSE-10	HOUSE-11	HOUSE-12	HOUSE-13	HOUSE-14	HOUSE-15	HOUSE-16	HOUSE-17	HOUSE-18	HOUSE-19	HOUSE-20	HOUSE-21	HOUSE-22	HOUSE-23	HOUSE-24	HOUSE-25	HOUSE-26	HOUSE-27	HOUSE-28	HOUSE-29	HOUSE-30	HOUSE-31	HOUSE-32	HOUSE-33	HOUSE-34	HOUSE-35	HOUSE-36	HOUSE-37	HOUSE-38	HOUSE-39	HOUSE-40	HOUSE-41	HOUSE-42	HOUSE-43	HOUSE-44	HOUSE-45	HOUSE-46	HOUSE-47	HOUSE-48	HOUSE-49	HOUSE-50	HOUSE-51	HOUSE-52	Radis-F1	Radis-F2	Radis-F3	Radis-F4	Radis-T1	Radis-T2	Radis-T3	Radis-T4	SynCom-Radis-1	SynCom-Radis-2	SynCom-Radis-3	TnegEXT-P01-A01	TnegEXT-P01-E12	TnegEXT-P01-F12	TnegEXT-P02-A01	TnegEXT-P02-F07	TnegPCR-P01	TnegPCR-P02	TposPCR-P01	TposPCR-P02	V1S1-D1	V1S1-D2	V1S1-D3	V1S1-P	V1S1-T1	V1S1-T2	V1S1-T3	V1S2-P	V1S2-T1	V1S2-T2	V1S2-T3	V2S1-D1	V2S1-D2	V2S1-D3	V2S1-P	V2S1-T1	V2S1-T2	V2S1-T3	V2S2-P	V2S2-T1	V2S2-T2	V2S2-T3	V3S1-D1	V3S1-D2	V3S1-D3	V3S1-P	V3S1-T1	V3S1-T2	V3S1-T3	V3S2-P	V3S2-T1	V3S2-T2	V3S2-T3	V4S1-D1	V4S1-D2	V4S1-D3	V4S1-P	V4S1-T1	V4S1-T2	V4S1-T3	V4S2-P	V4S2-T1	V4S2-T2	V4S2-T3	V5S1-D1	V5S1-D2	V5S1-D3	V5S1-P	V5S1-T1	V5S1-T2	V5S1-T3	V5S2-P	V5S2-T1	V5S2-T2	V5S2-T3	V6S1-D1	V6S1-D2	V6S1-D3	V6S1-P	V6S1-T1	V6S1-T2	V6S1-T3	V6S2-P	V6S2-T1	V6S2-T2	V6S2-T3	V7S1-D1	V7S1-D2	V7S1-D3	V7S1-P	V7S1-T1	V7S1-T2	V7S1-T3	V7S2-P	V7S2-T1	V7S2-T2	V7S2-T3	V8S1-D1	V8S1-D2	V8S1-D3	V8S1-P	V8S1-T1	V8S1-T2	V8S1-T3	V8S2-P	V8S2-T1	V8S2-T2	V8S2-T3
954c617d4484e7696d6ed6258d27dd27	0	4	64	34	80	253	6845	564	0	291	76	112	517	0	300	157	0	405	367	678	356	219	990	2246	0	312	294	268	164	95	312	87	904	222	69	4943	758	311	229	379	884	1413	2081	1610	1972	5971	2361	275	0	371	71	476	110	94	92	97	2197	1659	1546	1632	1327	2225	963	15	225	401	0	0	0	0	3	0	382	9980	3503	1950	10220	7257	11974	104	1192	1802	1576	9903	7218	8155	3819	9360	6645	14588	250	1914	2000	1719	0	3	70	977	2905	2799	2155	5323	5685	8417	7744	8240	4932	14678	12049	5517	10381	15300	504	628	2429	2664	994	1058	137	11372	7329	6642	10220	703	5912	1212	428	3405	12412	872	4423	11372	8728	10827	2138	920	2517	969	488	3468	3642	1306	9545	13942	11807	3341	1234	3906	587	783	0	38	487	4580	5395	3784	248	2770	3666	8568
78fd8cb239f74f93e18b927ea682dee7	0	0	21	27	125	68	0	329	0	88	0	290	0	241	89	237	0	0	89	0	95	72	68	0	0	112	70	0	50	0	0	0	36	9	0	65	163	28	14	31	0	170	130	150	70	55	92	1076	0	0	139	0	140	47	95	104	7766	10654	5040	5429	239	214	83	0	958	3807	0	0	0	0	0	0	8605	4119	2879	19219	9951	5582	2551	4690	9689	13852	8486	903	3656	7521	4673	3100	1776	1882	15132	8898	8739	9336	0	0	0	102	794	527	371	10693	9828	6851	7051	2431	12634	3191	2539	1236	1017	1070	6855	5013	5312	5382	76	0	0	406	1762	2310	918	3810	5103	7680	4452	7404	4281	3575	2192	3033	3115	5524	6640	14169	12279	16947	912	590	441	337	3628	2784	2117	248	472	4422	368	951	0	97	15760	1211	2159	2827	2981	10693	9475	5983
f43122d1b872ab9cd043b89c153fce62	1047	223	5358	4001	4888	2939	748	5733	102	4225	1833	1487	1921	1566	5734	8654	4029	10691	12361	7466	5146	6968	11250	856	2118	5774	8228	9515	6452	6144	10708	6904	452	40	132	933	2544	1676	463	1520	2569	3277	6445	2038	3770	2658	3859	9667	0	1476	1645	7790	2540	338	2768	3487	10304	3623	5268	5338	19009	12533	12156	12	271	136	0	0	0	0	0	0	3	23	0	28	1507	1909	614	45	285	400	482	25	137	89	40	4317	4955	4609	9	275	473	456	376	360	0	3752	8489	1952	4779	65	1069	945	480	68	36	0	202	2284	1735	626	746	378	10516	2305	74	237	595	634	536	2154	234	178	335	1064	139	0	0	118	3733	3673	903	1831	2867	771	1670	791	280	0	317	244	238	235	445	1853	42	2465	207	0	69	68	29	6074	7123	5899	1040	1478	1890	702
c8bf7e70d51c0c7b552f76a90b192ef3	976	17795	1088	271	867	3294	1417	1409	109	1654	1434	882	549	5296	1526	2787	95	869	1103	1730	5061	1694	1325	10489	347	1123	2378	427	248	0	1351	313	3529	10044	1723	95	742	990	9790	15419	7945	682	102	57	0	13	19	1952	0	98	244	34	29	3	21	22	969	357	1460	871	0	10	7	0	68	0	0	0	0	0	0	0	0	0	0	0	143	0	13	5540	3969	443	595	823	3	0	198	742	321	167	36	7622	3395	8262	0	0	0	0	97	10	28	14	155	138	49	0	11	0	0	28	11	19	10773	16813	388	14655	22	0	0	0	15	15	9	1801	9911	3171	23320	0	0	647	0	0	22	0	4074	84	222	215	169	4	28	0	10	32	16	428	12728	4728	14443	0	0	117	847	34	74	46	0	1072	1338	6865
1686e3ecc6e6580aac586bc21b037acc	2502	225	2404	1097	1909	6565	1554	5745	55	4832	1559	3891	1965	1779	5835	4823	561	1029	967	2204	1051	2395	1565	319	672	1908	4550	1810	680	88	1422	368	547	33	106	1070	1375	1357	362	928	1477	2499	7656	5602	2673	5305	6226	3462	0	868	3815	1307	747	95	825	1018	2651	1865	1052	1676	224	527	334	3	59	226	203	0	0	0	0	0	11	30	142	0	174	345	36	0	32	61	105	40	894	58	0	191	343	132	0	23	66	30	163	87	0	14	2254	427	1502	0	233	155	75	15	39	244	0	35	11	17	0	27	321	88	9	100	850	0	54	165	21	0	43	118	26	247	0	0	0	240	98	323	0	121	196	83	675	239	62	0	30	21	69	0	0	260	26	167	116	216	0	1082	1544	1156	0	175	276	106
82296e76f994b0a5ad1eca6c16772bab	1534	135	836	253	274	649	264	2703	146	2026	334	1725	288	887	1949	890	0	321	148	266	277	251	206	106	0	341	298	212	84	0	176	38	260	6	7	20	248	78	84	183	166	295	1070	473	1896	1114	620	167	0	188	41	0	7328	8655	8142	10278	704	776	814	525	2857	3882	1887	0	0	921	0	0	0	0	0	0	0	0	113	65	142	255	164	6	57	104	114	0	391	0	52	400	329	102	0	90	80	52	0	71	52	0	280	131	219	18	467	429	261	419	251	49	56	37	130	96	45	84	162	44	1271	0	0	0	415	169	74	5	105	88	39	20	0	82	34	1105	881	896	0	95	75	55	57	63	0	0	74	249	273	87	8	83	13	0	0	85	0	286	387	302	0	129	161	72
d1f9edaed21fb1110699a2a4be609539	595	93	109	38	40	242	511	195	135	84	0	143	492	237	0	74	243	177	47	0	0	75	37	141	0	127	84	96	19	0	0	0	0	0	0	0	0	601	0	0	101	39	0	0	0	0	0	23	0	0	0	0	0	0	0	0	118	196	0	0	0	0	0	374	825	540	598	0	0	0	0	0	703	1210	812	1369	396	175	103	0	0	73	897	7619	1533	2934	1551	574	602	3305	619	30	66	31	331	126	238	0	3826	3313	2863	4	228	1054	249	3142	149	0	179	132	1173	328	0	0	0	70	0	0	0	1480	2408	3298	2818	16	34	267	0	2003	0	1023	1377	2381	4874	590	420	80	0	0	543	301	572	116	228	671	494	23	0	51	42	967	271	445	0	1865	2420	2021	9	88	84	63
66ffc9027c7046d5c021be1b68f9553b	289	18	211	21	95	292	0	80	228	90	94	24	767	188	200	95	138	40	0	112	197	61	16	53	346	280	45	74	34	0	56	20	0	0	0	0	0	0	0	0	48	46	48	14	0	0	38	0	0	84	0	0	0	0	0	0	165	139	142	230	0	0	0	2648	571	1271	286	971	0	0	0	0	59	34	0	11	0	0	0	6	0	0	14	87	352	58	0	0	15	0	0	0	9	7	196	530	224	13573	1273	5793	1678	0	51	53	509	62	36	161	0	11	0	9	0	0	0	17	93	269	344	31	104	69	674	0	10	27	0	366	0	321	101	0	33	22	43	6	12	14	718	856	295	8446	51	107	117	58	12	13	0	618	589	170	5	342	463	382	0	89	0	0
b949fc7315651b48d12ce050fa5ae90a	1120	42	5184	1270	2843	2364	596	607	60	294	1481	1547	3116	490	1937	2534	871	1225	1576	1325	2336	563	741	670	741	1343	294	1099	1254	540	963	790	0	0	0	0	0	80	0	14	21	97	14	0	17	0	6	1562	1	67	0	724	0	0	0	0	51	12	40	57	0	0	0	5	333	184	0	0	0	0	0	0	20	8	247	0	0	0	0	0	0	4	0	30	0	0	0	0	0	0	0	0	0	0	271	622	56	0	0	0	0	0	0	0	0	0	16	32	0	0	0	0	0	0	5	2	143	0	0	0	0	0	0	17	0	0	0	199	11	997	0	0	0	46	28	15	26	14	771	36	125	0	0	0	0	0	0	0	0	0	555	278	0	7	0	0	0	0	0	0
957bd35c269036eb911a617463617201	0	0	0	0	0	0	409	110	0	0	42	0	0	0	54	0	0	0	0	111	85	0	0	79	99	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	76	5	0	0	261	228	0	367	329	0	0	0	0	0	1759	208	355	421	69	106	178	48	0	0	1000	314	161	3113	447	456	769	0	0	0	0	86	0	0	94	3062	2685	2416	0	237	937	387	603	0	470	0	56	885	453	0	34	89	0	0	0	0	1208	974	1902	2094	0	0	294	38	510	0	183	1661	4943	1012	395	0	0	154	52	0	753	1142	0	246	519	416	0	14	59	0	212	385	90	0	1720	1917	1801	0	0	0	0
